Msr_Result_ID,Msr_Result_Name,Unit_Lbl,UOM
W15RES,Well Care Visits in the first 15 months (5 or more Visits),Percentage,100
SSDRES,Diabetes Screening for People with Schizophrenia or Bipolar Disease who are Using Antipsychotic Medication,Percentage,100
SPCRECRES,Statin Therapy for Patients with Cardiovascular Disease - Received Statin Therapy,Percentage,100
SPCADHRES,Statin Therapy for Patients with Cardiovascular Disease - Statin Adherence 80%,Percentage,100
SMDRES,Diabetes Monitoring for People with Diabetes and Schizophrenia,Percentage,100
SMCRES,Cardiovascular Monitoring for People with Cardiovascular Disease and Schizophrenia,Percentage,100
SAARES,Adherence to Antipsychotic Medications for People with Schizophrenia,Percentage,100
PQI9RES,Prevention Quality Indicator # 9 (Low Birth Weight Rate) +/-,"Per 1,000 Newborns",1000
PQI92V2RES,Prevention Quality Indicator # 92 (Prevention Quality Chronic Composite) +/-,"Per 100,000 Members",100000
PQI92RES,Prevention Quality Indicator # 92 (Prevention Quality Chronic Composite) +/-,"Per 100,000 Members",100000
PQI91RES,Prevention Quality Indicator # 91 (Prevention Quality Acute Composite) +/-,"Per 100,000 Members",100000
PQI90V2RES,Prevention Quality Indicator # 90 (Overall Composite) +/-,"Per 100,000 Members",100000
PQI90RES,Prevention Quality Indicator # 90 (Overall Composite) +/-,"Per 100,000 Members",100000
PQI8RES,Prevention Quality Indicator # 8 (Heart Failure Admission Rate) +/-,"Per 100,000 Members",100000
PQI7RES,Prevention Quality Indicator # 7 (Hypertension Admission Rate)  +/-,"Per 100,000 Members",100000
PQI5RES,Prevention Quality Indicator # 5 (COPD or Asthma in Older Adults Admission Rate) +/-,"Per 100,000 Members",100000
PQI3RES,Prevention Quality Indicator # 3 (Diabetes Long-Term Complications Admission Rate) +/-,"Per 100,000 Members",100000
PQI1RES,Prevention Quality Indicator # 1 (Diabetes Short-Term Complications Admission Rate)  +/-,"Per 100,000 Members",100000
PQI16RES,Prevention Quality Indicator # 16 (Lower-Extremity Amputation Among Patients with Diabetes Rate) +/-,"Per 100,000 Members",100000
PQI15RES,Prevention Quality Indicator # 15 (Asthma in Younger Adults Admission Rate)  +/-,"Per 100,000 Members",100000
PQI14RES,Prevention Quality Indicator # 14 (Uncontrolled Diabetes Admission Rate) +/-,"Per 100,000 Members",100000
PQI13RES,Prevention Quality Indicator # 13 (Angina Without Procedure)  +/-,"Per 100,000 Members",100000
PQI12RES,Prevention Quality Indicator # 12 (Urinary Tract Infection Admission Rate) +/-,"Per 100,000 Members",100000
PQI11RES,Prevention Quality Indicator # 11 (Bacterial Pneumonia Admission Rate) +/-,"Per 100,000 Members",100000
PQI10RES,Prevention Quality Indicator # 10 (Dehydration Admission Rate) +/-,"Per 100,000 Members",100000
PPVRES,Potentially Avoidable Emergency Room Visits  +/-,Per 100 Members,100
PPVBHRES,Potentially Preventable Emergency Department Visits (for persons with BH diagnosis) +/-,Per 100 Members,100
PPRRES,Potentially Avoidable Readmissions   +/-,"Per 100,000 Members",100000
PDI92RES,Pediatric Quality Indicator  # 92 (Pediatric Quality Chronic Composite) +/-,"Per 100,000 Members",100000
PDI91RES,Pediatric Quality Indicator  # 91 (Pediatric Quality Acute Composite) +/-,"Per 100,000 Members",100000
PDI90RES,Pediatric Quality Indicator  # 90 (Overall Composite) +/-,"Per 100,000 Members",100000
PDI18RES,Pediatric Quality Indicator  # 18 (Urinary Tract Infection Admission Rate) +/-,"Per 100,000 Members",100000
PDI16RES,Pediatric Quality Indicator  # 16 (Gastroenteritis Admission Rate) +/-,"Per 100,000 Members",100000
PDI15RES,Pediatric Quality Indicator  # 15 (Diabetes Short-Term Complications Admission Rate) +/-,"Per 100,000 Members",100000
PDI14RES,Pediatric Quality Indicator  # 14 (Asthma Admission Rate) +/-,"Per 100,000 Members",100000
